            -20	            400
        -18.089	        327.213
       -16.9855	        288.507
       -15.5907	        243.071
       -13.8672	        192.298
        -12.622	        159.315
       -10.6338	        113.078
       -9.61747	        92.4958
       -8.41207	         70.763
       -7.21776	         52.096
       -5.28849	        27.9682
       -4.27701	        18.2928
       -3.06765	        9.41045
       -1.43339	        2.05462
       0.106466	       0.011335
        1.91783	        3.67808
        3.52574	        12.4309
        4.93063	        24.3111
          6.182	        38.2172
        8.08077	        65.2989
        10.0194	        100.388
        11.9414	        142.596
        13.5939	        184.795
        14.9381	        223.148
        16.6711	        277.926
        17.8661	        319.196
        18.9986	        360.947
        20.5816	        423.601
        21.6147	        467.196
        23.0292	        530.344
        24.2644	        588.761
        25.2804	        639.098
        27.2773	         744.05
        29.2411	        855.043
        30.9798	        959.747
        32.3839	        1048.71
        34.1578	        1166.76
        35.7976	        1281.47
        37.3838	        1397.55
        39.1917	        1535.99
        40.2673	        1621.46
